"time"	"method"	"train"	"testing"	"validation"	"runTime"	"train_cols"	"train_rows"	"test_rows"	"val_rows"
"2015-11-24 18:21:22"	"nb"	0.566949369577177	0.581835349129985	0.579995383872931	351.1	21	10142	111205	47659
"2015-11-24 18:23:05"	"bayesglm"	0.658649340924281	0.655644979991907	0.658427579261	7	21	10142	111205	47659
"2015-11-24 20:02:09"	"ORFlog"	0.65371714074533	0.652875320354301	0.654776642397029	6416	21	10142	111205	47659
"2015-11-24 21:21:34"	"ORFpls"	0.658251733932575	0.652272829459107	0.651734195010386	4774.1	21	10142	111205	47659
"2015-11-24 22:40:10"	"ORFridge"	0.652534729696698	0.651679330965334	0.652930191569273	4719.5	21	10142	111205	47659
"2015-11-24 22:50:22"	"avNNet"	0.666140638572554	0.658126882784048	0.66262405841499	127.5	21	10142	111205	47659
"2015-11-24 22:53:00"	"bstTree"	0.597909567737566	0.591007598579201	0.588996831658239	160.6	21	10142	111205	47659
"2015-11-24 22:55:10"	"bagEarth"	0.662492287163624	0.662281372240457	0.661218237898403	134.1	21	10142	111205	47659
"2015-11-24 22:56:27"	"bagEarthGCV"	0.660226492032888	0.662137493817724	0.661323149877253	77.3	21	10142	111205	47659
"2015-11-24 22:57:22"	"BstLm"	0.528100966825286	0.528105750640709	0.528105919133847	47.4	21	10142	111205	47659
"2015-11-24 23:01:44"	"bstSm"	0.574343636166408	0.574092891506677	0.575442203990852	263.2	21	10142	111205	47659
