"time"	"method"	"train"	"testing"	"validation"	"runTime"	"train_cols"	"train_rows"	"test_rows"	"val_rows"
"2015-11-24 13:39:57"	"gbm"	0.651449546677678	0.654916595476822	0.654713695209719	12.2	21	10142	111205	47659
"2015-11-24 13:42:09"	"bagFDA"	0.654406659327825	0.661490040915427	0.659392769466418	2.4	21	10142	111205	47659
"2015-11-24 13:42:29"	"gcvEarth"	0.643856345385251	0.654736747448406	0.651713212614616	5.4	21	10142	111205	47659
"2015-11-24 13:45:38"	"ranger"	0.644547409908136	0.653864484510589	0.653895381774691	3.3	21	10142	111205	47659
"2015-11-24 13:45:58"	"earth"	0.648393505416917	0.654502945011465	0.651629283031537	9	21	10142	111205	47659
"2015-11-24 13:46:01"	"fda"	0.651351064394543	0.654934580279664	0.652405631675025	3.5	21	10142	111205	47659
"2015-11-24 13:46:22"	"xgbTree"	0.648295244460463	0.651058855267299	0.653160997922743	21	21	10142	111205	47659
"2015-11-24 13:47:28"	"xgbLinear"	0.637448830831535	0.64488107549121	0.643257307119327	1.1	21	10142	111205	47659
"2015-11-24 13:48:52"	"C5.0"	0.630249823966976	0.643775010116452	0.643089447953167	1.5	21	10142	111205	47659
"2015-11-24 13:51:30"	"RRFglobal"	0.641688499428585	0.652785396340093	0.653853416983151	2.6	21	10142	111205	47659

! runTime is wrongly calculated!
