"time"	"method"	"train"	"testing"	"validation"	"runTime"	"train_cols"	"train_rows"	"test_rows"	"val_rows"	"result"
"2015-12-07 16:46:56"	"xgbTree"	0.660421971721542	0.662704015107234	0.667953586940557	24.3	93	10142	111205	47659	"SUCCESS"
"2015-12-07 16:48:59"	"xgbLinear"	0.645336422880618	0.649772941864125	0.650454268868419	123.1	93	10142	111205	47659	"SUCCESS"
"2015-12-07 16:51:24"	"C5.0"	0.641490939914256	0.648217256418327	0.646887261587528	156	93	10142	111205	47659	"SUCCESS"
"2015-12-07 16:59:45"	"RRFglobal"	0.661211343963926	0.659718537835529	0.661931639354582	493	93	10142	111205	47659	"SUCCESS"
"2015-12-07 17:00:57"	"treebag"	0.641490502383957	0.643559192482352	0.64216622253929	79.5	93	10142	111205	47659	"SUCCESS"
"2015-12-07 17:25:56"	"AdaBoost.M1"	0.657858452531171	0.659116046940335	0.661784762584192	1519.7	93	10142	111205	47659	"SUCCESS"
"2015-12-07 17:26:40"	"J48"	0.578879799926145	0.583418011780046	0.586436979374305	14	93	10142	111205	47659	"SUCCESS"
"2015-12-07 17:26:46"	"OneR"	0.536775588376162	0.523519625916101	0.52271344342097	4.7	93	10142	111205	47659	"SUCCESS"
"2015-12-07 17:27:29"	"JRip"	0.608853461357669	0.618146666067173	0.623470907908265	43.8	93	10142	111205	47659	"SUCCESS"
"2015-12-07 17:53:02"	"extraTrees"	NA	0.659682568229846	0.663568266224637	1548.5	93	10142	111205	47659	"SUCCESS"
"2015-12-07 18:16:16"	"RRF"	0.623940644110776	0.641895598219504	0.645250634717472	1381.9	93	10142	111205	47659	"SUCCESS"
"2015-12-07 18:19:40"	"LMT"	0.653520727555209	0.654116271750371	0.655699867810907	199.8	93	10142	111205	47659	"SUCCESS"
"2015-12-07 18:20:21"	"C5.0Tree"	0.609842045776632	0.620313834809586	0.6215615098932	51.7	93	10142	111205	47659	"SUCCESS"
"2015-12-07 18:21:12"	"C5.0Rules"	0.620885077863197	0.627606672361854	0.633269686732831	52.1	93	10142	111205	47659	"SUCCESS"
"2015-12-07 18:21:42"	"ctree2"	0.596626764037945	0.598012679286003	0.597578631528148	21.4	93	10142	111205	47659	"SUCCESS"
"2015-12-07 18:22:43"	"blackboost"	0.634194313321366	0.646760487388157	0.652699385215804	61.8	93	10142	111205	47659	"SUCCESS"
