"time"	"method"	"train"	"testing"	"validation"	"runTime"	"train_cols"	"train_rows"	"test_rows"	"val_rows"	"result"
"2015-11-27 16:24:01"	"rf"	0.651447038912353	0.658900229306236	0.657567301034432	114.3	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:24:05"	"glm"	0.640307712142399	0.644170675778967	0.647076103149458	1.5	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:24:07"	"rpart"	0.598500356335957	0.597706937637696	0.595480391951153	2.4	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:24:10"	"rpart2"	0.605203962969054	0.603534013758374	0.603117984011414	2.3	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:29:39"	"AdaBag"	0.611909727446733	0.615403983633829	0.613588199500619	336.3	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:29:57"	"gbm"	0.649478230534131	0.657065779416393	0.658154808115991	11.9	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:29:58"	"bagFDA"	NA	NA	NA	0.6	21	10142	111205	47659	"Error in models$grid(x = x, y = y, len = tuneLength, search = trControl$search): could not find function \"fda\"|"
"2015-11-27 16:30:03"	"gcvEarth"	0.64583145250934	0.6553392383436	0.659665540611427	4.9	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:33:19"	"ranger"	0.647900300581918	0.659340856975855	0.657525336242892	204.2	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:33:35"	"earth"	0.651941943483134	0.655752888808956	0.660127153318366	8.2	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:33:36"	"fda"	NA	NA	NA	0.5	21	10142	111205	47659	"Error in library(pkg, character.only = TRUE, logical.return = TRUE, lib.loc = lib.loc, : Package ‘class’ version 7.3.14 cannot be unloaded|"
"2015-11-27 16:33:50"	"xgbTree"	0.652532551377113	0.658441616833775	0.660378942067605	14	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:34:56"	"xgbLinear"	0.639715354454963	0.645033946315363	0.645208669925932	66.4	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:35:33"	"C5.0"	0.636854585769656	0.645627444809136	0.646635472838289	40.3	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:37:52"	"RRFglobal"	0.648886085634937	0.656211501281417	0.655657903019367	137.2	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:38:31"	"treebag"	0.630841306593815	0.64060968481633	0.638662162445708	46.3	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:54:29"	"AdaBoost.M1"	0.651744841663619	0.653217031608291	0.655196290312428	958.3	21	10142	111205	47659	"SUCCESS"
"2015-11-27 16:54:41"	"J48"	0.610431487268134	0.62350613731397	0.623890555823664	2	21	10142	111205	47659	"SUCCESS"
